Admission Number,Full Name,Class Standard,Class Section,Gender,Father Name,Mother Name,Email,Mobile1,Mobile2,Mobile3,Mobile4,Mobile5,DOB,Morning Bus Route,Evening Bus Route
76,keshav75,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,03-09-1991,409,405
77,keshav76,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,03-10-1991,409,405
78,keshav77,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,03-11-1991,409,405
79,keshav78,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,03-12-1991,409,405
80,keshav79,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,3/13/1991,409,405
81,keshav80,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,3/14/1991,409,405
82,keshav81,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,3/15/1991,409,405
83,keshav82,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,3/16/1991,409,405
84,keshav83,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,3/17/1991,409,405
85,keshav84,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,3/18/1991,409,405
86,keshav85,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,3/19/1991,409,405
87,keshav86,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,3/20/1991,409,405
88,keshav87,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,3/21/1991,409,405
89,keshav88,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,3/22/1991,409,405
90,keshav89,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,3/23/1991,409,405
91,keshav90,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,3/24/1991,409,405
92,keshav91,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,3/25/1991,409,405
93,keshav92,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,3/26/1991,409,405
94,keshav93,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,3/27/1991,409,405
95,keshav94,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,3/28/1991,409,405
96,keshav95,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,3/29/1991,409,405
97,keshav96,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,3/30/1991,409,405
98,keshav97,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,3/31/1991,409,405
99,keshav98,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,04-01-1991,409,405
100,keshav99,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,04-02-1991,409,405
101,keshav100,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,04-03-1991,409,405
102,keshav101,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,04-04-1991,409,405
103,keshav102,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,04-05-1991,409,405
104,keshav103,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,04-06-1991,409,405
105,keshav104,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,04-07-1991,409,405
106,keshav105,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,04-08-1991,409,405
107,keshav106,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,04-09-1991,409,405
108,keshav107,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,04-10-1991,409,405
109,keshav108,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,04-11-1991,409,405
110,keshav109,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,04-12-1991,409,405
111,keshav110,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,4/13/1991,409,405
112,keshav111,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,4/14/1991,409,405
113,keshav112,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,4/15/1991,409,405
114,keshav113,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,4/16/1991,409,405
115,keshav114,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,4/17/1991,409,405
116,keshav115,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,4/18/1991,409,405
117,keshav116,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,4/19/1991,409,405
118,keshav117,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,4/20/1991,409,405
119,keshav118,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,4/21/1991,409,405
120,keshav119,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,4/22/1991,409,405
121,keshav120,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,4/23/1991,409,405
122,keshav121,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,4/24/1991,409,405
123,keshav122,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,4/25/1991,409,405
124,keshav123,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,4/26/1991,409,405
125,keshav124,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,4/27/1991,409,405
126,keshav125,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,4/28/1991,409,405
127,keshav126,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,4/29/1991,409,405
128,keshav127,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,4/30/1991,409,405
129,keshav128,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,05-01-1991,409,405
130,keshav129,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,05-02-1991,409,405
131,keshav130,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,05-03-1991,409,405
132,keshav131,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,05-04-1991,409,405
133,keshav132,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,05-05-1991,409,405
134,keshav133,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,05-06-1991,409,405
135,keshav134,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,05-07-1991,409,405
136,keshav135,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,05-08-1991,409,405
137,keshav136,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,05-09-1991,409,405
138,keshav137,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,05-10-1991,409,405
139,keshav138,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,05-11-1991,409,405
140,keshav139,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,05-12-1991,409,405
141,keshav140,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,5/13/1991,409,405
142,keshav141,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,5/14/1991,409,405
143,keshav142,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,5/15/1991,409,405
144,keshav143,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,5/16/1991,409,405
145,keshav144,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,5/17/1991,409,405
146,keshav145,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,5/18/1991,409,405
147,keshav146,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,5/19/1991,409,405
148,keshav147,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,5/20/1991,409,405
149,keshav148,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,5/21/1991,409,405
150,keshav149,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,5/22/1991,409,405
151,keshav150,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,5/23/1991,409,405
152,keshav151,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,5/24/1991,409,405
153,keshav152,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,5/25/1991,409,405
154,keshav153,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,5/26/1991,409,405
155,keshav154,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,5/27/1991,409,405
156,keshav155,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,5/28/1991,409,405
157,keshav156,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,5/29/1991,409,405
158,keshav157,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,5/30/1991,409,405
159,keshav158,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,5/31/1991,409,405
160,keshav159,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,06-01-1991,409,405
161,keshav160,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,06-02-1991,409,405
162,keshav161,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,06-03-1991,409,405
163,keshav162,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,06-04-1991,409,405
164,keshav163,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,06-05-1991,409,405
165,keshav164,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,06-06-1991,409,405
166,keshav165,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,06-07-1991,409,405
167,keshav166,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,06-08-1991,409,405
168,keshav167,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,06-09-1991,409,405
169,keshav168,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,06-10-1991,409,405
170,keshav169,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,06-11-1991,409,405
171,keshav170,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,06-12-1991,409,405
172,keshav171,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,6/13/1991,409,405
173,keshav172,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,6/14/1991,409,405
174,keshav173,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,6/15/1991,409,405
175,keshav174,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,6/16/1991,409,405
176,keshav175,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,6/17/1991,409,405
177,keshav176,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,6/18/1991,409,405
178,keshav177,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,6/19/1991,409,405
179,keshav178,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,6/20/1991,409,405
180,keshav179,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,6/21/1991,409,405
181,keshav180,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,6/22/1991,409,405
182,keshav181,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,6/23/1991,409,405
183,keshav182,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,6/24/1991,409,405
184,keshav183,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,6/25/1991,409,405
185,keshav184,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,6/26/1991,409,405
186,keshav185,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,6/27/1991,409,405
187,keshav186,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,6/28/1991,409,405
188,keshav187,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,6/29/1991,409,405
189,keshav188,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,6/30/1991,409,405
190,keshav189,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,07-01-1991,409,405
191,keshav190,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,07-02-1991,409,405
192,keshav191,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,07-03-1991,409,405
193,keshav192,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,07-04-1991,409,405
194,keshav193,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,07-05-1991,409,405
195,keshav194,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,07-06-1991,409,405
196,keshav195,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,07-07-1991,409,405
197,keshav196,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,07-08-1991,409,405
198,keshav197,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,07-09-1991,409,405
199,keshav198,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,07-10-1991,409,405
200,keshav199,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,07-11-1991,409,405
201,keshav200,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,07-12-1991,409,405
202,keshav201,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,7/13/1991,409,405
203,keshav202,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,7/14/1991,409,405
204,keshav203,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,7/15/1991,409,405
205,keshav204,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,7/16/1991,409,405
206,keshav205,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,7/17/1991,409,405
207,keshav206,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,7/18/1991,409,405
208,keshav207,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,7/19/1991,409,405
209,keshav208,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,7/20/1991,409,405
210,keshav209,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,7/21/1991,409,405
211,keshav210,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,7/22/1991,409,405
212,keshav211,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,7/23/1991,409,405
213,keshav212,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,7/24/1991,409,405
214,keshav213,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,7/25/1991,409,405
215,keshav214,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,7/26/1991,409,405
216,keshav215,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,7/27/1991,409,405
217,keshav216,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,7/28/1991,409,405
218,keshav217,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,7/29/1991,409,405
219,keshav218,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,7/30/1991,409,405
220,keshav219,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,7/31/1991,409,405
221,keshav220,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,08-01-1991,409,405
222,keshav221,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,08-02-1991,409,405
223,keshav222,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,08-03-1991,409,405
224,keshav223,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,08-04-1991,409,405
225,keshav224,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,08-05-1991,409,405
226,keshav225,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,08-06-1991,409,405
227,keshav226,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,08-07-1991,409,405
228,keshav227,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,08-08-1991,409,405
229,keshav228,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,08-09-1991,409,405
230,keshav229,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,08-10-1991,409,405
231,keshav230,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,08-11-1991,409,405
232,keshav231,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,08-12-1991,409,405
233,keshav232,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,8/13/1991,409,405
234,keshav233,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,8/14/1991,409,405
235,keshav234,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,8/15/1991,409,405
236,keshav235,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,8/16/1991,409,405
237,keshav236,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,8/17/1991,409,405
238,keshav237,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,8/18/1991,409,405
239,keshav238,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,8/19/1991,409,405
240,keshav239,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,8/20/1991,409,405
241,keshav240,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,8/21/1991,409,405
242,keshav241,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,8/22/1991,409,405
243,keshav242,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,8/23/1991,409,405
244,keshav243,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,8/24/1991,409,405
245,keshav244,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,8/25/1991,409,405
246,keshav245,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,8/26/1991,409,405
247,keshav246,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,8/27/1991,409,405
248,keshav247,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,8/28/1991,409,405
249,keshav248,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,8/29/1991,409,405
250,keshav249,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,8/30/1991,409,405
251,keshav250,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,8/31/1991,409,405
252,keshav251,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,09-01-1991,409,405
253,keshav252,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,09-02-1991,409,405
254,keshav253,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,09-03-1991,409,405
255,keshav254,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,09-04-1991,409,405
256,keshav255,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,09-05-1991,409,405
257,keshav256,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,09-06-1991,409,405
258,keshav257,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,09-07-1991,409,405
259,keshav258,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,09-08-1991,409,405
260,keshav259,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,09-09-1991,409,405
261,keshav260,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,09-10-1991,409,405
262,keshav261,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,09-11-1991,409,405
263,keshav262,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,09-12-1991,409,405
264,keshav263,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,9/13/1991,409,405
265,keshav264,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,9/14/1991,409,405
266,keshav265,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,9/15/1991,409,405
267,keshav266,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,9/16/1991,409,405
268,keshav267,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,9/17/1991,409,405
269,keshav268,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,9/18/1991,409,405
270,keshav269,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,9/19/1991,409,405
271,keshav270,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,9/20/1991,409,405
272,keshav271,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,9/21/1991,409,405
273,keshav272,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,9/22/1991,409,405
274,keshav273,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,9/23/1991,409,405
275,keshav274,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,9/24/1991,409,405
276,keshav275,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,9/25/1991,409,405
277,keshav276,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,9/26/1991,409,405
